tilt,key_resp.keys,key_resp.corr,,hit,miss,FA,CR
0,up,1,,1,,,
0,up,1,,1,,,
-5,down,1,,,,,1
0,up,1,,1,,,
0,down,0,,,1,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
-4,down,1,,,,,1
0,up,1,,1,,,
4,down,1,,,,,1
0,up,0,,,1,,
-2,up,0,,,1,,
0,up,1,,1,,,
-2,down,1,,,,,1
0,up,1,,1,,,
-2,down,1,,,,,1
0,down,0,,,1,,
4,down,1,,,,,1
-5,down,1,,,,,1
1,down,1,,,,,1
0,up,1,,1,,,
2,down,1,,,,,1
0,down,0,,,1,,
0,down,0,,,1,,
0,down,0,,,1,,
3,down,1,,,,,1
0,down,0,,,1,,
-1,up,0,,,1,,
-1,up,0,,,1,,
0,up,1,,1,,,
4,up,0,,,,1,
0,up,1,,1,,,
0,down,0,,,1,,
0,down,0,,,1,,
0,up,1,,1,,,
-5,up,0,,,,,1
0,up,1,,1,,,
0,up,1,,1,,,
-5,down,1,,,,,1
0,up,1,,1,,,
0,up,1,,1,,,
0,down,0,,,1,,
0,up,1,,1,,,
3,up,0,,,,,1
-4,up,0,,,,,1
0,up,1,,1,,,
0,down,0,,,1,,
-2,down,1,,,,,1
-3,down,1,,,,,1
2,up,0,,,1,,
-4,down,1,,,,,1
0,up,1,,1,,,
0,up,1,,1,,,
2,up,0,,,,,1
-3,down,1,,,,,1
1,up,0,,,1,,
-3,down,1,,,,,1
0,up,1,,1,,,
-3,down,1,,,,,1
0,down,0,,,1,,
0,up,1,,1,,,
-2,up,0,,,,1,
3,up,0,,,,1,
0,down,0,,,1,,
-5,down,1,,,,,1
-4,down,1,,,,,1
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,down,0,,,1,,
0,down,0,,,1,,
0,down,1,,,1,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,0,,,1,,
0,up,0,,,1,,
-5,up,0,,,,1,
0,up,1,,1,,,
-1,down,1,,,,,1
4,up,0,,,,1,
0,down,0,,,1,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,down,0,,,1,,
0,up,1,,1,,,
3,up,0,,,,1,
-5,down,1,,,,,1
0,up,1,,1,,,
1,down,1,,,,,1
-4,down,1,,,,,1
0,up,1,,1,,,
0,up,1,,1,,,
4,up,0,,,1,,
0,up,1,,1,,,
2,up,0,,,1,,
0,down,0,,,,1,
0,up,1,,1,,,
0,up,0,,,1,,
1,up,0,,,,1,
0,up,1,,1,,,
-4,down,1,,,,,1
-1,up,0,,,1,,
0,down,0,,,1,,
-2,up,0,,,,1,
-2,up,0,,,,1,
0,up,1,,1,,,
-5,up,0,,,,1,
0,down,0,,,1,,
0,up,1,,1,,,
-2,up,0,,,1,,
-5,up,0,,,1,,
0,up,1,,1,,,
0,down,0,,,,1,
0,down,0,,,,1,
0,up,1,,1,,,
-2,up,0,,,,1,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
-2,up,0,,,,1,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
3,up,0,,,,1,
0,up,1,,1,,,
2,up,0,,,,,1
0,up,1,,1,,,
0,down,0,,,,1,
0,down,0,,,,1,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,0,,,,1,
1,down,1,,,,,1
-2,up,0,,,1,,
-3,up,0,,,1,,
0,down,0,,,,1,
-1,up,0,,,1,,
4,up,0,,,1,,
4,down,1,,,,,1
0,down,0,,,1,,
0,up,1,,1,,,
-4,down,1,,,,,1
-3,down,1,,,,,1
0,up,1,,1,,,
-3,up,0,,,1,,
4,down,1,,,,,1
0,down,0,,,,1,
3,down,1,,,,,1
-3,down,1,,,,,1
0,down,1,,,1,,
-2,up,0,,,1,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
-3,up,0,,,,1,
0,down,0,,,,1,
-3,down,1,,,,,1
-1,down,1,,,,,1
0,down,0,,,,1,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
3,up,0,,,,1,
0,up,1,,1,,,
0,up,1,,1,,,
0,up,1,,1,,,
1,up,0,,,1,,
0,down,0,,,,1,
3,up,0,,,1,,
-5,up,0,,,1,,
0,down,0,,,,1,
2,up,0,,,1,,
-1,up,0,,,1,,
0,up,1,,1,,,
1,down,1,,,,,1
0,up,0,,,,1,
2,up,0,,,1,,
0,down,0,,,,1,
-3,down,1,,,,,1
4,down,1,,,,,1
0,up,1,,1,,,
0,up,1,,1,,,
1,up,0,,,,1,
0,up,1,,1,,,
0,up,1,,1,,,
3,up,0,,,,1,
0,down,1,,,1,,
0,down,0,,,,1,
-2,up,0,,,1,,
0,up,1,,1,,,
,,,,,,,
,,,,78,49,32,41
,,,,,,,
,,,,,respond yes,respond no,
,,,,signal present,78,49,
,,,,signal absent,32,41,
,,,,,,,
,,,,prophit,0.614173228,,
,,,,propfa,0.438356164,,
,,,,,,,
,,,,d prime,0.44535092,,
,,,,c,-0.367781795,,
